# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 12
8.018244989216327667e-03 6.798192596435546875e+01 8.403418731689453125e+01 9.555669403076171875e+01
1.401655934751033783e-02 5.693210601806640625e+01 7.559189605712890625e+01 8.773785400390625000e+01
1.969251595437526703e-02 4.517935562133789062e+01 6.163859176635742188e+01 7.312657165527343750e+01
2.551339380443096161e-02 5.608405303955078125e+01 7.463410949707031250e+01 8.990714263916015625e+01
3.202908113598823547e-02 4.748459243774414062e+01 6.186859130859375000e+01 7.231567382812500000e+01
3.846523538231849670e-02 3.914564514160156250e+01 5.213401031494140625e+01 6.088895797729492188e+01
4.443310573697090149e-02 3.136066627502441406e+01 4.263231277465820312e+01 5.099920272827148438e+01
5.042308941483497620e-02 2.954766464233398438e+01 3.954486846923828125e+01 4.649185943603515625e+01
5.690929666161537170e-02 2.827419090270996094e+01 3.815865325927734375e+01 4.406584167480468750e+01
6.341847032308578491e-02 2.505996704101562500e+01 3.420335769653320312e+01 3.990734481811523438e+01
6.949992477893829346e-02 2.421911048889160156e+01 3.263480377197265625e+01 3.829812622070312500e+01
7.558133453130722046e-02 2.268692016601562500e+01 3.069560813903808594e+01 3.582954406738281250e+01
8.196274191141128540e-02 1.944519996643066406e+01 2.615399360656738281e+01 3.027619552612304688e+01
8.830232173204421997e-02 1.702048110961914062e+01 2.308044242858886719e+01 2.689325904846191406e+01
9.435217082500457764e-02 1.550564575195312500e+01 2.093859672546386719e+01 2.417232322692871094e+01
1.005600690841674805e-01 1.358163261413574219e+01 1.813510894775390625e+01 2.097833251953125000e+01
1.070138886570930481e-01 1.258262825012207031e+01 1.675434494018554688e+01 1.952302742004394531e+01
1.134273484349250793e-01 1.151249122619628906e+01 1.529237556457519531e+01 1.766357803344726562e+01
1.196089535951614380e-01 1.079841613769531250e+01 1.447718143463134766e+01 1.658008193969726562e+01
1.257804334163665771e-01 1.044928169250488281e+01 1.397618484497070312e+01 1.598812103271484375e+01
1.321490257978439331e-01 1.031326484680175781e+01 1.383305931091308594e+01 1.580553913116455078e+01
1.384563297033309937e-01 9.291522979736328125e+00 1.245911502838134766e+01 1.409403324127197266e+01
1.446497291326522827e-01 8.794313430786132812e+00 1.169124221801757812e+01 1.314524936676025391e+01
1.508535146713256836e-01 8.150911331176757812e+00 1.087747097015380859e+01 1.223947620391845703e+01
1.571729034185409546e-01 7.625834941864013672e+00 1.011833286285400391e+01 1.137797451019287109e+01
1.635417938232421875e-01 6.980352401733398438e+00 9.252096176147460938e+00 1.042275047302246094e+01
1.698256134986877441e-01 6.782350063323974609e+00 8.988695144653320312e+00 1.006882476806640625e+01
1.761013567447662354e-01 6.034392356872558594e+00 7.975485324859619141e+00 8.906660079956054688e+00
1.823998540639877319e-01 5.913405895233154297e+00 7.837143421173095703e+00 8.650839805603027344e+00
1.886507123708724976e-01 5.938266277313232422e+00 7.864535331726074219e+00 8.561287879943847656e+00
1.949081569910049438e-01 5.586982727050781250e+00 7.425137042999267578e+00 8.090658187866210938e+00
2.011425346136093140e-01 5.407597064971923828e+00 7.173564910888671875e+00 7.769377708435058594e+00
2.073954045772552490e-01 5.078704833984375000e+00 6.641726970672607422e+00 7.182959556579589844e+00
2.137389332056045532e-01 4.875767707824707031e+00 6.410805225372314453e+00 6.944565773010253906e+00
2.200330942869186401e-01 4.651017665863037109e+00 6.075299739837646484e+00 6.509577751159667969e+00
2.262930423021316528e-01 4.404134273529052734e+00 5.737982749938964844e+00 6.130236625671386719e+00
2.325985133647918701e-01 4.234529495239257812e+00 5.577650547027587891e+00 5.939681529998779297e+00
2.388891130685806274e-01 4.034651279449462891e+00 5.234557628631591797e+00 5.531012535095214844e+00
2.451218813657760620e-01 3.910303831100463867e+00 5.067173480987548828e+00 5.331117153167724609e+00
