# k, P_{cc}, P_{hc,r}, P_{hc,0}
#  Realization 7
8.018244989216327667e-03 1.252161121368408203e+01 2.553911781311035156e+01 3.053160667419433594e+01
1.401655934751033783e-02 4.372490310668945312e+01 8.474584197998046875e+01 9.791638946533203125e+01
1.969251595437526703e-02 3.835509109497070312e+01 7.593558502197265625e+01 8.675581359863281250e+01
2.551339380443096161e-02 2.936974334716796875e+01 5.813161468505859375e+01 6.643222808837890625e+01
3.202908113598823547e-02 2.543232727050781250e+01 5.053803253173828125e+01 5.740356826782226562e+01
3.846523538231849670e-02 2.082866668701171875e+01 4.229145431518554688e+01 4.825291061401367188e+01
4.443310573697090149e-02 1.882307815551757812e+01 3.749461746215820312e+01 4.310982513427734375e+01
5.042308941483497620e-02 1.751714897155761719e+01 3.520005035400390625e+01 3.962599945068359375e+01
5.690929666161537170e-02 1.499409866333007812e+01 3.012437629699707031e+01 3.410537719726562500e+01
6.341847032308578491e-02 1.390584373474121094e+01 2.798615074157714844e+01 3.170386123657226562e+01
6.949992477893829346e-02 1.296102523803710938e+01 2.592784500122070312e+01 2.946330642700195312e+01
7.558133453130722046e-02 1.155559158325195312e+01 2.320244407653808594e+01 2.638018417358398438e+01
8.196274191141128540e-02 1.023922061920166016e+01 2.087065887451171875e+01 2.353325462341308594e+01
8.830232173204421997e-02 9.547717094421386719e+00 1.941020393371582031e+01 2.198370361328125000e+01
9.435217082500457764e-02 8.377859115600585938e+00 1.710274887084960938e+01 1.931203651428222656e+01
1.005600690841674805e-01 7.385684013366699219e+00 1.500407886505126953e+01 1.685368347167968750e+01
1.070138886570930481e-01 6.950597286224365234e+00 1.423810386657714844e+01 1.594027042388916016e+01
1.134273484349250793e-01 6.450232982635498047e+00 1.323115444183349609e+01 1.471012115478515625e+01
1.196089535951614380e-01 6.068205356597900391e+00 1.261134243011474609e+01 1.401329040527343750e+01
1.257804334163665771e-01 5.721195697784423828e+00 1.174131488800048828e+01 1.307033729553222656e+01
1.321490257978439331e-01 5.650747299194335938e+00 1.158071994781494141e+01 1.283822345733642578e+01
1.384563297033309937e-01 5.131628513336181641e+00 1.057008171081542969e+01 1.171026420593261719e+01
1.446497291326522827e-01 4.886772155761718750e+00 1.013411808013916016e+01 1.113810920715332031e+01
1.508535146713256836e-01 4.380051136016845703e+00 9.070291519165039062e+00 1.000071716308593750e+01
1.571729034185409546e-01 4.108940601348876953e+00 8.464093208312988281e+00 9.385297775268554688e+00
1.635417938232421875e-01 3.752529859542846680e+00 7.811866283416748047e+00 8.589458465576171875e+00
1.698256134986877441e-01 3.575132846832275391e+00 7.393319606781005859e+00 8.072849273681640625e+00
1.761013567447662354e-01 3.309184312820434570e+00 6.862914085388183594e+00 7.495269775390625000e+00
1.823998540639877319e-01 3.269161701202392578e+00 6.781425476074218750e+00 7.356751918792724609e+00
1.886507123708724976e-01 3.101038455963134766e+00 6.493300914764404297e+00 6.991934299468994141e+00
1.949081569910049438e-01 2.974465370178222656e+00 6.226384639739990234e+00 6.697161674499511719e+00
2.011425346136093140e-01 2.843281984329223633e+00 5.990767955780029297e+00 6.434402942657470703e+00
2.073954045772552490e-01 2.720975160598754883e+00 5.761610507965087891e+00 6.151776313781738281e+00
2.137389332056045532e-01 2.532732009887695312e+00 5.356836795806884766e+00 5.719937801361083984e+00
2.200330942869186401e-01 2.424471616744995117e+00 5.145756244659423828e+00 5.476187229156494141e+00
2.262930423021316528e-01 2.268338680267333984e+00 4.810583591461181641e+00 5.076684474945068359e+00
2.325985133647918701e-01 2.187512397766113281e+00 4.604929447174072266e+00 4.846829891204833984e+00
2.388891130685806274e-01 2.097816944122314453e+00 4.467258930206298828e+00 4.677479743957519531e+00
2.451218813657760620e-01 2.051439285278320312e+00 4.365943908691406250e+00 4.552311420440673828e+00
2.513737380504608154e-01 1.922527909278869629e+00 4.095623493194580078e+00 4.255244255065917969e+00
2.577070593833923340e-01 1.896825194358825684e+00 4.054289817810058594e+00 4.173255920410156250e+00
2.640204429626464844e-01 1.839128375053405762e+00 3.966591835021972656e+00 4.062198162078857422e+00
2.702898085117340088e-01 1.770238876342773438e+00 3.779803276062011719e+00 3.853019475936889648e+00
2.765615284442901611e-01 1.686529755592346191e+00 3.615305185317993164e+00 3.659277915954589844e+00
2.828698754310607910e-01 1.649418354034423828e+00 3.550462961196899414e+00 3.582276582717895508e+00
2.891486585140228271e-01 1.563307285308837891e+00 3.371901035308837891e+00 3.389601945877075195e+00
2.953523397445678711e-01 1.522274374961853027e+00 3.289287567138671875e+00 3.293815612792968750e+00
3.016075491905212402e-01 1.469720482826232910e+00 3.191314458847045898e+00 3.185691595077514648e+00
3.079382479190826416e-01 1.416455745697021484e+00 3.079214811325073242e+00 3.056792497634887695e+00
3.142760396003723145e-01 1.387438774108886719e+00 3.022555828094482422e+00 2.956404447555541992e+00
3.205462992191314697e-01 1.325556159019470215e+00 2.906192541122436523e+00 2.826383829116821289e+00
3.268128037452697754e-01 1.304551959037780762e+00 2.857951402664184570e+00 2.781822919845581055e+00
3.331238031387329102e-01 1.253536462783813477e+00 2.749525308609008789e+00 2.641630172729492188e+00
3.394046723842620850e-01 1.213410973548889160e+00 2.666061878204345703e+00 2.546793937683105469e+00
3.456391692161560059e-01 1.201435446739196777e+00 2.638506174087524414e+00 2.511693954467773438e+00
3.518808186054229736e-01 1.165820717811584473e+00 2.574719905853271484e+00 2.427824258804321289e+00
3.582032322883605957e-01 1.121207356452941895e+00 2.469231367111206055e+00 2.327134609222412109e+00
3.645117878913879395e-01 1.100664973258972168e+00 2.436025142669677734e+00 2.279715299606323242e+00
3.707640767097473145e-01 1.067341923713684082e+00 2.356761693954467773e+00 2.182035923004150391e+00
3.770540952682495117e-01 1.019690513610839844e+00 2.243458509445190430e+00 2.067263841629028320e+00
3.833588361740112305e-01 1.012601256370544434e+00 2.244550466537475586e+00 2.056966543197631836e+00
3.896513879299163818e-01 9.792498946189880371e-01 2.169938325881958008e+00 1.973092675209045410e+00
3.958770036697387695e-01 9.728726148605346680e-01 2.171612739562988281e+00 1.956360936164855957e+00
4.021126329898834229e-01 9.485832452774047852e-01 2.098737955093383789e+00 1.879773259162902832e+00
4.084537327289581299e-01 9.125171899795532227e-01 2.044971227645874023e+00 1.811244487762451172e+00
4.147696197032928467e-01 9.097395539283752441e-01 2.037859201431274414e+00 1.800066947937011719e+00
4.210544228553771973e-01 8.838270902633666992e-01 1.984065532684326172e+00 1.735496282577514648e+00
4.273288547992706299e-01 8.694106936454772949e-01 1.946797251701354980e+00 1.695991873741149902e+00
4.336213767528533936e-01 8.412537574768066406e-01 1.886580586433410645e+00 1.623595952987670898e+00
4.399181902408599854e-01 8.248242139816284180e-01 1.849147796630859375e+00 1.583611130714416504e+00
