# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 19
8.018244989216327667e-03 1.154729843139648438e+02 4.862909240722656250e+02 5.792991943359375000e+02 -2.527290802001953125e+02 6.404877319335937500e+02 5.277423706054687500e+02 -7.244319152832031250e+01 2.345975952148437500e+02 2.569736938476562500e+02 -2.745894241333007812e+01 2.552134323120117188e+01 1.286943912506103516e+01
1.401655934751033783e-02 7.693122100830078125e+01 2.904114685058593750e+02 3.722232055664062500e+02 1.879142456054687500e+02 7.598947906494140625e+01 3.268182678222656250e+02 1.635702514648437500e+01 1.470478515625000000e+02 1.664607696533203125e+02 9.863605499267578125e+00 3.535737276077270508e+00 1.286943912506103516e+01
1.969251595437526703e-02 8.043513488769531250e+01 3.097634582519531250e+02 3.891028137207031250e+02 1.311551666259765625e+02 1.515111083984375000e+02 3.451777648925781250e+02 6.001805305480957031e+00 1.557570648193359375e+02 1.743158721923828125e+02 3.737608194351196289e+00 7.474045753479003906e+00 1.286943912506103516e+01
2.551339380443096161e-02 6.804899597167968750e+01 2.716430664062500000e+02 3.435642700195312500e+02 1.109870529174804688e+02 -2.141401367187500000e+02 3.042269287109375000e+02 8.817590713500976562e+00 1.333093414306640625e+02 1.497467956542968750e+02 4.173199653625488281e+00 -1.040169525146484375e+01 1.286943912506103516e+01
3.202908113598823547e-02 5.882800292968750000e+01 2.263322601318359375e+02 2.810758056640625000e+02 2.972499084472656250e+01 -6.734967803955078125e+01 2.508490600585937500e+02 -5.043845653533935547e+00 1.128654098510742188e+02 1.257843399047851562e+02 -2.015480279922485352e+00 -3.774637460708618164e+00 1.286943912506103516e+01
3.846523538231849670e-02 4.217924118041992188e+01 1.690805511474609375e+02 2.100348663330078125e+02 3.765438842773437500e+01 -3.491570281982421875e+01 1.872015533447265625e+02 -1.371848940849304199e+00 8.223556518554687500e+01 9.168173980712890625e+01 2.291193753480911255e-01 -1.305781364440917969e+00 1.286943912506103516e+01
4.443310573697090149e-02 3.264939498901367188e+01 1.331876373291015625e+02 1.683173828125000000e+02 7.866041564941406250e+01 2.252380943298339844e+01 1.485950775146484375e+02 6.754120826721191406e+00 6.338598632812500000e+01 7.135836029052734375e+01 3.875907182693481445e+00 1.057674288749694824e+00 1.286943912506103516e+01
5.042308941483497620e-02 3.098457145690917969e+01 1.206897811889648438e+02 1.493664550781250000e+02 5.683967208862304688e+01 1.739988327026367188e+01 1.332585601806640625e+02 4.622708797454833984e+00 5.894811248779296875e+01 6.549044799804687500e+01 2.595509767532348633e+00 8.957248926162719727e-01 1.286943912506103516e+01
5.690929666161537170e-02 3.018975067138671875e+01 1.203062057495117188e+02 1.534745635986328125e+02 8.910014343261718750e+01 -5.623826599121093750e+01 1.347553863525390625e+02 1.004219722747802734e+01 5.791261291503906250e+01 6.540964508056640625e+01 5.191219806671142578e+00 -2.949587583541870117e+00 1.286943912506103516e+01
6.341847032308578491e-02 2.775079727172851562e+01 1.149178314208984375e+02 1.425843200683593750e+02 6.287605285644531250e+01 4.727584457397460938e+01 1.267586975097656250e+02 5.114569187164306641e+00 5.398527526855468750e+01 6.011093139648437500e+01 2.723042488098144531e+00 2.041805744171142578e+00 1.286943912506103516e+01
6.949992477893829346e-02 2.766250801086425781e+01 1.119787368774414062e+02 1.391752014160156250e+02 7.093567657470703125e+01 2.463965988159179688e+01 1.234424591064453125e+02 6.865972518920898438e+00 5.328704452514648438e+01 5.923043060302734375e+01 3.580368757247924805e+00 7.416486144065856934e-01 1.286943912506103516e+01
7.558133453130722046e-02 2.396748542785644531e+01 9.769664764404296875e+01 1.205013809204101562e+02 4.827928924560546875e+01 -1.271894931793212891e+01 1.071442260742187500e+02 3.847451925277709961e+00 4.608248519897460938e+01 5.101078414916992188e+01 1.795484423637390137e+00 -5.990739464759826660e-01 1.286943912506103516e+01
8.196274191141128540e-02 2.047712135314941406e+01 8.537470245361328125e+01 1.050908737182617188e+02 3.736150360107421875e+01 -2.139421463012695312e+00 9.331312561035156250e+01 2.542464971542358398e+00 3.957258224487304688e+01 4.375410079956054688e+01 1.490636944770812988e+00 -1.493242532014846802e-01 1.286943912506103516e+01
8.830232173204421997e-02 1.830851364135742188e+01 7.975996398925781250e+01 9.852732086181640625e+01 4.414740371704101562e+01 1.969649505615234375e+01 8.713610839843750000e+01 3.574556350708007812e+00 3.585322189331054688e+01 3.968644332885742188e+01 1.823408007621765137e+00 6.013413667678833008e-01 1.286943912506103516e+01
9.435217082500457764e-02 1.586522102355957031e+01 6.935684204101562500e+01 8.535128784179687500e+01 3.291540908813476562e+01 -5.064055442810058594e+00 7.539622497558593750e+01 2.123350381851196289e+00 3.086365318298339844e+01 3.393590545654296875e+01 1.169473290443420410e+00 -4.314783811569213867e-01 1.286943912506103516e+01
1.005600690841674805e-01 1.431887817382812500e+01 6.464433288574218750e+01 7.993034362792968750e+01 3.341644668579101562e+01 6.504197120666503906e+00 7.024733734130859375e+01 2.322261571884155273e+00 2.818060874938964844e+01 3.107391929626464844e+01 1.276716828346252441e+00 7.056638598442077637e-02 1.286943912506103516e+01
1.070138886570930481e-01 1.297492122650146484e+01 5.932145690917968750e+01 7.249592590332031250e+01 2.678247261047363281e+01 -8.632201552391052246e-01 6.393223190307617188e+01 1.642462372779846191e+00 2.559763717651367188e+01 2.791570091247558594e+01 7.518585324287414551e-01 -1.526605337858200073e-01 1.286943912506103516e+01
1.134273484349250793e-01 1.270971012115478516e+01 5.920009994506835938e+01 7.219672393798828125e+01 3.475012207031250000e+01 3.324502229690551758e+00 6.369015884399414062e+01 3.040050983428955078e+00 2.527729797363281250e+01 2.759589576721191406e+01 1.472128152847290039e+00 4.205125197768211365e-02 1.286943912506103516e+01
1.196089535951614380e-01 1.185159778594970703e+01 5.476994705200195312e+01 6.568664550781250000e+01 2.328946685791015625e+01 7.222476959228515625e+00 5.827359390258789062e+01 1.503335952758789062e+00 2.330290985107421875e+01 2.513458633422851562e+01 6.626309156417846680e-01 2.415675818920135498e-01 1.286943912506103516e+01
1.257804334163665771e-01 1.148233413696289062e+01 5.417838668823242188e+01 6.508094024658203125e+01 1.919745826721191406e+01 3.104370355606079102e+00 5.741826248168945312e+01 5.556367039680480957e-01 2.273179054260253906e+01 2.451449203491210938e+01 4.123138189315795898e-01 -1.673059538006782532e-02 1.286943912506103516e+01
1.321490257978439331e-01 1.081503295898437500e+01 5.215646362304687500e+01 6.203983306884765625e+01 2.108038520812988281e+01 3.528477668762207031e+00 5.488922500610351562e+01 8.810746073722839355e-01 2.159691429138183594e+01 2.300979995727539062e+01 6.340272426605224609e-01 -5.419138818979263306e-02 1.286943912506103516e+01
1.384563297033309937e-01 1.026677513122558594e+01 4.946307754516601562e+01 5.965407943725585938e+01 2.381431007385253906e+01 5.587394714355468750e+00 5.227690887451171875e+01 1.395605444908142090e+00 2.042987442016601562e+01 2.193113899230957031e+01 7.545172572135925293e-01 7.157482951879501343e-02 1.286943912506103516e+01
1.446497291326522827e-01 8.971333503723144531e+00 4.492315673828125000e+01 5.390747833251953125e+01 2.032828140258789062e+01 -7.946997880935668945e-01 4.715021514892578125e+01 1.074305653572082520e+00 1.798778343200683594e+01 1.920294570922851562e+01 5.867211818695068359e-01 -1.085487008094787598e-01 1.286943912506103516e+01
1.508535146713256836e-01 8.454315185546875000e+00 4.421153259277343750e+01 5.290916442871093750e+01 1.649500083923339844e+01 -4.148424863815307617e-01 4.619428253173828125e+01 3.630912303924560547e-01 1.722962379455566406e+01 1.828474807739257812e+01 2.977105975151062012e-01 -5.484367534518241882e-02 1.286943912506103516e+01
1.571729034185409546e-01 8.102064132690429688e+00 4.265935897827148438e+01 5.127764129638671875e+01 1.975577735900878906e+01 4.407293796539306641e+00 4.449773406982421875e+01 8.435496687889099121e-01 1.645299720764160156e+01 1.747125244140625000e+01 3.131264746189117432e-01 8.061295002698898315e-02 1.286943912506103516e+01
1.635417938232421875e-01 7.497255802154541016e+00 4.005895233154296875e+01 4.828466796875000000e+01 1.732194709777832031e+01 -2.354895621538162231e-01 4.171121597290039062e+01 6.125050783157348633e-01 1.532525157928466797e+01 1.627886581420898438e+01 3.552730083465576172e-01 -9.505681693553924561e-02 1.286943912506103516e+01
1.698256134986877441e-01 7.106980323791503906e+00 3.849481582641601562e+01 4.580182266235351562e+01 1.682399940490722656e+01 -3.217545449733734131e-01 3.963193511962890625e+01 7.322447299957275391e-01 1.452764225006103516e+01 1.522074890136718750e+01 3.379169404506683350e-01 -9.000231325626373291e-02 1.286943912506103516e+01
1.761013567447662354e-01 6.687886238098144531e+00 3.672116470336914062e+01 4.403878021240234375e+01 1.510062885284423828e+01 -4.406864345073699951e-01 3.784600830078125000e+01 4.271827042102813721e-01 1.365276813507080078e+01 1.438994026184082031e+01 2.991307675838470459e-01 -6.713256984949111938e-02 1.286943912506103516e+01
1.823998540639877319e-01 6.516399860382080078e+00 3.646389389038085938e+01 4.364036941528320312e+01 1.751267051696777344e+01 4.564161777496337891e+00 3.731328964233398438e+01 5.456152558326721191e-01 1.338506698608398438e+01 1.405240345001220703e+01 3.547248244285583496e-01 1.058680340647697449e-01 1.286943912506103516e+01
