# k, P_{cc}, P_{hh,r}, P_{hh,0}, P_{hh,2}, P_{hh,4}, P_{h0,hr}, P_{h2,hr}, P_{hc,r}, P_{hc,0}, P_{hc,2}, P_{hc,4}, P_pSN
#  Realization 60
8.018244989216327667e-03 1.945939254760742188e+01 1.660606842041015625e+02 1.917827453613281250e+02 -7.520221710205078125e+01 7.275458526611328125e+01 1.778980712890625000e+02 -1.981268310546875000e+01 5.430681991577148438e+01 5.861067962646484375e+01 -5.455109596252441406e+00 1.321825146675109863e+00 2.063068389892578125e+01
1.401655934751033783e-02 3.347692108154296875e+01 2.596699829101562500e+02 3.106580200195312500e+02 4.904434204101562500e+01 -1.502116241455078125e+02 2.831810607910156250e+02 3.404502868652343750e-01 9.023685455322265625e+01 9.856372833251953125e+01 -2.066099643707275391e+00 -3.614738464355468750e+00 2.063068389892578125e+01
1.969251595437526703e-02 3.125825881958007812e+01 2.653663330078125000e+02 3.314901733398437500e+02 2.703368225097656250e+02 2.403182830810546875e+02 2.952611694335937500e+02 3.441715240478515625e+01 8.809330749511718750e+01 9.864453125000000000e+01 1.227046585083007812e+01 6.995134353637695312e+00 2.063068389892578125e+01
2.551339380443096161e-02 3.245547103881835938e+01 2.662006835937500000e+02 3.123592834472656250e+02 -3.446228408813476562e+01 3.863887786865234375e+01 2.873921813964843750e+02 -1.603718948364257812e+01 9.052376556396484375e+01 9.806486511230468750e+01 -5.976285934448242188e+00 1.937386989593505859e+00 2.063068389892578125e+01
3.202908113598823547e-02 2.600383567810058594e+01 2.129779357910156250e+02 2.537509765625000000e+02 5.683856582641601562e+01 5.447020339965820312e+01 2.316165161132812500e+02 2.167121171951293945e+00 7.160355377197265625e+01 7.831777191162109375e+01 6.567321419715881348e-01 1.707049727439880371e+00 2.063068389892578125e+01
3.846523538231849670e-02 2.328057861328125000e+01 1.977973480224609375e+02 2.370115203857421875e+02 5.580199813842773438e+01 1.185287594795227051e+00 2.156702728271484375e+02 2.738907575607299805e+00 6.520129394531250000e+01 7.153780364990234375e+01 1.004425168037414551e+00 2.333546429872512817e-02 2.063068389892578125e+01
4.443310573697090149e-02 2.057412147521972656e+01 1.827536773681640625e+02 2.227046508789062500e+02 1.317615661621093750e+02 4.893115460872650146e-01 2.008325958251953125e+02 1.618233299255371094e+01 5.882601547241210938e+01 6.511099243164062500e+01 5.955420970916748047e+00 -2.375687658786773682e-01 2.063068389892578125e+01
5.042308941483497620e-02 1.961558151245117188e+01 1.700400543212890625e+02 2.033222503662109375e+02 7.800355529785156250e+01 2.786763954162597656e+01 1.851539306640625000e+02 7.831327915191650391e+00 5.498241424560546875e+01 6.012732696533203125e+01 1.811756610870361328e+00 3.683300912380218506e-01 2.063068389892578125e+01
5.690929666161537170e-02 1.629767990112304688e+01 1.499715881347656250e+02 1.775211944580078125e+02 5.446924591064453125e+01 1.889391708374023438e+01 1.623525543212890625e+02 4.490047454833984375e+00 4.701356124877929688e+01 5.127050399780273438e+01 1.685046911239624023e+00 4.437732100486755371e-01 2.063068389892578125e+01
6.341847032308578491e-02 1.535821056365966797e+01 1.345660858154296875e+02 1.608485870361328125e+02 5.972070693969726562e+01 2.480682182312011719e+01 1.462502288818359375e+02 5.554968833923339844e+00 4.292155456542968750e+01 4.697772598266601562e+01 2.089879274368286133e+00 6.522725820541381836e-01 2.063068389892578125e+01
6.949992477893829346e-02 1.402913856506347656e+01 1.283496704101562500e+02 1.515522460937500000e+02 4.776478195190429688e+01 7.871284961700439453e+00 1.385650787353515625e+02 3.913531064987182617e+00 3.994338989257812500e+01 4.347060012817382812e+01 1.357758522033691406e+00 2.874605953693389893e-01 2.063068389892578125e+01
7.558133453130722046e-02 1.361705017089843750e+01 1.267087478637695312e+02 1.486321868896484375e+02 3.297859191894531250e+01 -3.276104354858398438e+01 1.362458801269531250e+02 1.658105611801147461e+00 3.894168472290039062e+01 4.211058044433593750e+01 4.554468095302581787e-01 -1.000614762306213379e+00 2.063068389892578125e+01
8.196274191141128540e-02 1.133011436462402344e+01 1.061746215820312500e+02 1.252718048095703125e+02 3.818042373657226562e+01 -4.788579463958740234e+00 1.143062133789062500e+02 3.028163433074951172e+00 3.200582122802734375e+01 3.476277160644531250e+01 9.281045198440551758e-01 -1.789684742689132690e-01 2.063068389892578125e+01
8.830232173204421997e-02 1.064647865295410156e+01 1.039944686889648438e+02 1.226720657348632812e+02 4.268288421630859375e+01 1.293544673919677734e+01 1.118489074707031250e+02 3.935903072357177734e+00 3.058181571960449219e+01 3.311189651489257812e+01 1.182294845581054688e+00 3.491031229496002197e-01 2.063068389892578125e+01
9.435217082500457764e-02 9.147612571716308594e+00 9.311836242675781250e+01 1.078381042480468750e+02 3.584611511230468750e+01 1.974010086059570312e+01 9.908762359619140625e+01 3.321504116058349609e+00 2.661629104614257812e+01 2.856250953674316406e+01 9.868569970130920410e-01 3.738053143024444580e-01 2.063068389892578125e+01
1.005600690841674805e-01 8.645123481750488281e+00 8.799719238281250000e+01 1.043512878417968750e+02 3.597052001953125000e+01 -9.524801373481750488e-01 9.458279418945312500e+01 3.023439407348632812e+00 2.506388664245605469e+01 2.722573471069335938e+01 8.034381866455078125e-01 -8.131788671016693115e-02 2.063068389892578125e+01
1.070138886570930481e-01 7.579928874969482422e+00 8.041139221191406250e+01 9.438972473144531250e+01 2.726970481872558594e+01 1.172437286376953125e+01 8.577120971679687500e+01 1.598378062248229980e+00 2.212203979492187500e+01 2.385735702514648438e+01 5.169458985328674316e-01 2.268497943878173828e-01 2.063068389892578125e+01
1.134273484349250793e-01 7.105653285980224609e+00 7.525575256347656250e+01 8.979222869873046875e+01 3.916663742065429688e+01 5.424330234527587891e+00 8.082373046875000000e+01 3.756259679794311523e+00 2.072805786132812500e+01 2.247821617126464844e+01 1.038240432739257812e+00 1.321194618940353394e-01 2.063068389892578125e+01
1.196089535951614380e-01 6.787927150726318359e+00 7.739159393310546875e+01 9.069364166259765625e+01 2.836763954162597656e+01 -1.313544750213623047e+00 8.227613830566406250e+01 1.901915073394775391e+00 2.042713356018066406e+01 2.196869659423828125e+01 6.133419275283813477e-01 -1.457659304141998291e-01 2.063068389892578125e+01
